Date,Description,Amount
2026-06-01,Starbucks Coffee,-5.45
2026-06-02,Amazon Web Services,-12.00
2026-06-03,Target Superstore,-45.89
2026-06-04,Uber Ride,-15.50
2026-06-05,Whole Foods Market,-89.20
2026-06-06,Netflix Subscription,-15.99
2026-06-08,Shell Gas Station,-40.00
2026-06-10,Home Depot Hardware,-67.25
2026-06-11,Spotify Premium,-9.99
2026-06-12,Chipotle Mexican Grill,-12.45
2026-06-13,Monthly Apartment Rent,-1200.00
2026-06-14,ConEdison Electric Bill,-85.30
2026-06-15,CVS Pharmacy,-22.10
2026-06-15,Apple App Store,-2.99
2026-06-16,McDonalds Drive Thru,-8.95
